version_date,current_value,predict_value,previous_value,refresh_date
1998-10-02,22.3,--,34.7,2022-04-10 18:35:53
1998-09-04,34.7,--,12.4,2022-04-10 18:35:53
1998-08-07,12.4,--,21.8,2022-04-10 18:35:53
1998-07-03,21.8,--,40.6,2022-04-10 18:35:53
1998-06-05,40.6,--,27.9,2022-04-10 18:35:53
1998-05-01,27.9,--,15.1,2022-04-10 18:35:53
1998-04-03,15.1,--,19.6,2022-04-10 18:35:53
1998-03-06,19.6,--,27.6,2022-04-10 18:35:53
1998-02-06,27.6,--,30.3,2022-04-10 18:35:53
1998-01-02,30.3,--,30.6,2022-04-10 18:35:53
1997-12-05,30.6,--,34.1,2022-04-10 18:35:53
1997-11-07,34.1,--,51.2,2022-04-10 18:35:53
1997-10-03,51.2,--,-3.9,2022-04-10 18:35:53
1997-09-05,-3.9,--,31.3,2022-04-10 18:35:53
1997-08-01,31.3,--,26.7,2022-04-10 18:35:53
1997-07-04,26.7,--,25.9,2022-04-10 18:35:53
1997-06-06,25.9,--,29.2,2022-04-10 18:35:53
1997-05-02,29.2,--,31.6,2022-04-10 18:35:53
1997-04-04,31.6,--,30.3,2022-04-10 18:35:53
1997-03-07,30.3,--,23.5,2022-04-10 18:35:53
1997-02-07,23.5,--,17.1,2022-04-10 18:35:53
1997-01-03,17.1,--,29.8,2022-04-10 18:35:53
1996-12-06,29.8,--,25,2022-04-10 18:35:53
1996-11-01,25,--,22.5,2022-04-10 18:35:53
1996-10-04,22.5,--,17.2,2022-04-10 18:35:53
1996-09-06,17.2,--,25.6,2022-04-10 18:35:53
1996-08-02,25.6,--,28.8,2022-04-10 18:35:53
1996-07-05,28.8,--,32.1,2022-04-10 18:35:53
1996-06-07,32.1,--,16.4,2022-04-10 18:35:53
1996-05-03,16.4,--,26.7,2022-04-10 18:35:53
1996-04-05,26.7,--,43.1,2022-04-10 18:35:53
1996-03-01,43.1,--,-1.9,2022-04-10 18:35:53
1996-02-02,-1.9,--,13.3,2022-04-10 18:35:53
1996-01-05,13.3,--,14.9,2022-04-10 18:35:53
1995-12-01,14.9,--,15.4,2022-04-10 18:35:53
1995-11-03,15.4,--,24.2,2022-04-10 18:35:53
1995-10-06,24.2,--,24.8,2022-04-10 18:35:53
1995-09-01,24.8,--,10.2,2022-04-10 18:35:53
1995-08-04,10.2,--,23.5,2022-04-10 18:35:53
1995-07-07,23.5,--,-1.6,2022-04-10 18:35:53
1995-06-02,-1.6,--,16.2,2022-04-10 18:35:53
1995-05-05,16.2,--,22.2,2022-04-10 18:35:53
1995-04-07,22.2,--,20.3,2022-04-10 18:35:53
1995-03-03,20.3,--,32.6,2022-04-10 18:35:53
1995-02-03,32.6,--,27.5,2022-04-10 18:35:53
1995-01-06,27.5,--,42,2022-04-10 18:35:53
1994-12-02,42,--,21.3,2022-04-10 18:35:53
1994-11-04,21.3,--,35.2,2022-04-10 18:35:53
1994-10-07,35.2,--,27.7,2022-04-10 18:35:53
1994-09-02,27.7,--,37.8,2022-04-10 18:35:53
1994-08-05,37.8,--,31.6,2022-04-10 18:35:53
1994-07-01,31.6,--,33.4,2022-04-10 18:35:53
1994-06-03,33.4,--,34.9,2022-04-10 18:35:53
1994-05-06,34.9,--,46.5,2022-04-10 18:35:53
1994-04-01,46.5,--,20,2022-04-10 18:35:53
1994-03-04,20,--,27.2,2022-04-10 18:35:53
1994-02-04,27.2,--,31.2,2022-04-10 18:35:53
1994-01-07,31.2,--,26.2,2022-04-10 18:35:53
1993-12-03,26.2,--,28.6,2022-04-10 18:35:53
1993-11-05,28.6,--,23.9,2022-04-10 18:35:53
1993-10-01,23.9,--,16,2022-04-10 18:35:53
1993-09-03,16,--,29.8,2022-04-10 18:35:53
1993-08-06,29.8,--,18.1,2022-04-10 18:35:53
1993-07-02,18.1,--,26.7,2022-04-10 18:35:53
1993-06-04,26.7,--,30.8,2022-04-10 18:35:53
1993-05-07,30.8,--,-4.9,2022-04-10 18:35:53
1993-04-02,-4.9,--,24.2,2022-04-10 18:35:53
1993-03-05,24.2,--,31,2022-04-10 18:35:53
1993-02-05,31,--,21.1,2022-04-10 18:35:53
1993-01-01,21.1,--,13.8,2022-04-10 18:35:53
1992-12-04,13.8,--,18,2022-04-10 18:35:53
1992-11-06,18,--,3.6,2022-04-10 18:35:53
1992-10-02,3.6,--,14.1,2022-04-10 18:35:53
1992-09-04,14.1,--,6.8,2022-04-10 18:35:53
1992-08-07,6.8,--,6.7,2022-04-10 18:35:53
1992-07-03,6.7,--,12.7,2022-04-10 18:35:53
1992-06-05,12.7,--,15.9,2022-04-10 18:35:53
1992-05-01,15.9,--,5.4,2022-04-10 18:35:53
1992-04-03,5.4,--,-6.3,2022-04-10 18:35:53
1992-03-06,-6.3,--,5.3,2022-04-10 18:35:53
1992-02-07,5.3,--,2.5,2022-04-10 18:35:53
1992-01-03,2.5,--,-5.7,2022-04-10 18:35:53
1991-12-06,-5.7,--,1.6,2022-04-10 18:35:53
1991-11-01,1.6,--,3.2,2022-04-10 18:35:53
1991-10-04,3.2,--,0.6,2022-04-10 18:35:53
1991-09-06,0.6,--,-3.6,2022-04-10 18:35:53
1991-08-02,-3.6,--,9.7,2022-04-10 18:35:53
1991-07-05,9.7,--,-12.5,2022-04-10 18:35:53
1991-06-07,-12.5,--,-21.1,2022-04-10 18:35:53
1991-05-03,-21.1,--,-15.8,2022-04-10 18:35:53
1991-04-05,-15.8,--,-30.5,2022-04-10 18:35:53
